WGS84 UTM 18N
679635 4911720
-45.1407069855 -441.570167344 274.071106095
186.990275577 -463.892274565 295.42800789
-232.148708866 300.094167356 271.859496964
79.3486450338 -309.61763391 270.65060241
48.3133099099 398.292659185 296.326815642
-214.380636199 227.950068786 274.325500435
216.080322561 -415.215767383 299.13003663
168.750743737 -200.34346853 298.672605791
-88.8681028943 -227.862445386 276.819672131
154.966550828 -122.625860834 299.504424779
137.293781542 144.342410883 295.835294118
99.5135915568 334.553475418 294.26733381
72.4122682232 117.746050498 293.229461756
158.191679313 45.923479056 296.682191781
-73.9426456413 62.2917704554 266.611479029
-184.240971606 259.333781018 276.469453376
-135.478577089 176.839807582 271.615813953
-109.063827035 -128.544358078 276.518036072
-77.4842865719 282.199809646 261.113432836
14.6720027834 -322.74708464 271.23013245
97.0012696005 -211.341881124 279.95703125
-21.3314504076 367.7977169 277.622192867
117.527351534 -99.8277788488 297.050049068
-48.435545776 -248.22170579 271.076507651
-150.682502309 284.278708126 271.518860017
19.7240811365 176.220033021 281.924743444
-111.663450795 68.6704964256 272.281829419
-109.526901471 -298.053235035 273.08782936
-122.551326091 500.876429685 256.953857246
-170.659380848 165.945397805 276.55438226
-144.762793406 63.8236130252 275.583832335
76.5027206395 -109.790433196 280.472747497
-26.2169495088 -549.475750659 275.778169014
-68.0869677267 -140.865190067 269.348632812
102.175214368 -28.9473714558 298.730223124
-126.264323972 -35.5745444829 275.030092593
55.1498628824 194.787858594 293.893982808
241.031293343 -374.619973428 295.504302926
-89.8230514943 353.228967795 255.770462633
-170.930679105 2.86685436685 276.899383984
-196.738488026 504.19797025 266.350769231
-27.2539333059 -353.03166521 270.965517241
78.5707939103 430.192298776 291.816161616
82.9112015597 -482.313026625 260.609558161
66.5381462291 -408.434849464 260.267364415
263.823169992 -482.79088189 297.557586837
-150.30859112 472.061137674 270.995850622
25.6699658474 -403.473923017 273.197632058
-59.3914373508 210.581858113 261.451965066
-120.864601876 -224.149720559 273.652802893
-83.0024363607 501.327711662 268.30221519
-202.622079838 358.255072989 276.175903614
185.136168765 -273.654192211 299.306733167
116.693120807 -318.150027867 281.044859813
-16.2508425075 -30.2094306704 258.835538752
-36.893489755 -82.3587750206 270.675141243
-4.95368669275 -460.608718474 271.253753754
-224.1265429 461.728217039 275.704103672
33.7132625578 470.481118238 296.230804388
-7.93800402374 -245.370872046 271.847046414
95.579606784 182.722100009 297.879182156
9.22096033639 423.710234196 292.334532374
-0.220671783783 264.579911304 279.628415301
-121.586558374 306.796819803 270.142273099
-38.7615395449 126.641524023 262.569763206
43.7240443642 -325.583068978 266.599029126
32.779117657 -248.067323166 262.703033528
-150.44608343 -75.5897599673 276.604215457
65.414137127 329.719053151 299.515472313
162.019685925 -321.299133135 293.919312169
-143.08021504 -152.202484911 274.607849103
156.415387809 -514.266873993 282.17053206
27.5205908353 354.519233149 298.292663477
-88.4888401456 145.644630768 263.732758621
-182.972558242 78.973198344 277.268035808
38.7085651767 -482.267127176 271.163817664
129.592872689 -173.52759352 297.020446097
-66.8917124732 -332.905211326 278.235872236
120.797603576 -519.815641771 266.187285223
52.8160311305 -7.34731230885 282.38238573
200.186045914 -161.72470087 297.840304183
100.660914082 -413.905689666 267.678496868
19.271567382 -5.44980204944 271.5078125
62.0716459551 523.958085251 289.800443459
-200.913098067 152.348607691 274.792877226
-256.224352687 456.126723854 275.597350993
221.042839264 -268.158186645 297.216612378
143.731389277 -247.052514076 296.273255814
39.1442124302 276.646403728 296.158995816
-179.073558693 395.362631213 269.30206379
0.87067564507 -104.176115724 258.941499086
227.051978799 -486.98137468 296.489473684
135.226865652 -414.689859265 281.815340909
-23.2699483739 -159.570851922 271.022641509
-56.0032677164 -10.3441837076 267.352569883
-67.9200050138 -523.803529939 271.715332031
15.6333934283 -173.677846117 264.520813166
108.139934034 104.155913705 300.478333333
-106.372640922 426.451213615 256.633789062
-38.1252266172 475.258335839 276.018918919
-80.986594639 -441.159242502 275.977232925
176.330948483 -53.9063767185 298.758087201
117.586515537 239.637194844 296.126279863
196.119173277 -345.906393872 298.383301708
59.6147854732 -207.350358447 268.917050691
79.2963648853 255.282129651 296.252199413
31.1080068201 -105.209833222 267.588256747
-245.097732052 382.019375579 273.397674419
-5.09638536384 99.9049319718 269.977419355
-87.8347004941 -38.7813928807 269.247648903
174.499244266 -392.767610954 293.102996255
-104.319199433 226.385517233 268.768189509
37.0786225775 85.8658795347 282.567901235
86.4268644855 44.0775621366 294.784606866
139.769113527 -48.1352109676 299.492370295
125.442808556 29.9343534242 300.133697135
-136.464089365 386.302277442 269.791780822
-23.7815321491 197.385757999 268.471283784
19.6250759177 545.182560247 297.979002625
-42.7681410067 297.780751568 269.298492462
-64.7803789787 397.891387088 271.797701149
-4.34637886437 495.668150281 292.131683168
-94.8965379146 -369.479635594 270.669983416
-28.5828003034 49.2124452684 259.787048568
